u,v,length,highway,geometry,edge_id
247400396,5703878990,10.403812463318568,primary,"LINESTRING (76.951054 8.5040448, 76.951146 8.504023)",1
247400396,2451875170,21.592795583569103,primary,"LINESTRING (76.951054 8.5040448, 76.9511124 8.5042302)",2
247400404,3443513895,31.8833186075732,primary,"LINESTRING (76.956707 8.509105, 76.9569732 8.5092186)",3
247400404,12672760426,7.237944972925972,tertiary,"LINESTRING (76.956707 8.509105, 76.9567439 8.5090511)",4
247400408,3423993288,66.76022370648896,secondary,"LINESTRING (76.9633203 8.5119174, 76.9634727 8.5119125, 76.9637268 8.5118921, 76.9639248 8.5118667)",5
247400408,12675825108,28.198271895048897,residential,"LINESTRING (76.9633203 8.5119174, 76.9632957 8.5121109, 76.9633002 8.5121693)",6
247400411,11199716349,28.911905551809664,secondary,"LINESTRING (76.9686801 8.511805, 76.9688964 8.5119528)",7
247400411,3439442310,81.29191134952114,residential,"LINESTRING (76.9686801 8.511805, 76.9686548 8.511889, 76.9686005 8.5120976, 76.9685266 8.5123427, 76.9684591 8.5125015)",8
247400446,1992132179,15.839510158814946,secondary,"LINESTRING (76.9713238 8.5129795, 76.9713514 8.5130184, 76.9713903 8.5130461, 76.9714364 8.5130595)",9
247400455,11222422824,85.68951519736902,tertiary,"LINESTRING (76.9712186 8.5083474, 76.9711777 8.5085657, 76.9711609 8.5087749, 76.9711588 8.5089918, 76.9711619 8.5091136)",10
247400455,7509506819,40.33741573723921,tertiary,"LINESTRING (76.9712186 8.5083474, 76.9714672 8.5084304, 76.9715619 8.5084739)",11
247400455,6956741660,62.15947517559324,tertiary,"LINESTRING (76.9712186 8.5083474, 76.9709606 8.5082464, 76.9708654 8.50819, 76.9707344 8.5080726)",12
247400460,6985222270,43.37148159357541,primary,"LINESTRING (76.9610482 8.5053056, 76.9612737 8.5056256)",13
247400460,3443512391,131.9304360046791,residential,"LINESTRING (76.9610482 8.5053056, 76.9605849 8.505544, 76.9602849 8.5057584, 76.9604954 8.5059798)",14
247400471,1117000868,63.49537810568911,primary,"LINESTRING (76.9581746 8.49329, 76.9583657 8.4932666, 76.9587338 8.4931557)",15
247400471,2437074993,181.80061281426464,primary,"LINESTRING (76.9581746 8.49329, 76.9581227 8.4933947, 76.9581175 8.4934868, 76.9581361 8.4936605, 76.9581533 8.4939759, 76.9581739 8.4943103, 76.9581775 8.4943477, 76.9582008 8.494593, 76.9582311 8.4949082)",16
247400471,247400473,235.21470145893943,residential,"LINESTRING (76.9581746 8.49329, 76.9577537 8.4931822, 76.956662 8.4931282, 76.956522 8.4931286, 76.956337 8.4931267, 76.9561344 8.4931238, 76.9560511 8.4931226)",17
247400473,247400476,292.49426989155893,unclassified,"LINESTRING (76.9560511 8.4931226, 76.9560728 8.4927831, 76.9560729 8.4927105, 76.9560733 8.4924363, 76.9560731 8.4923627, 76.9560783 8.4919799, 76.9560837 8.4915883, 76.9560823 8.4912776, 76.9560787 8.4904929)",18
247400473,7514174184,84.87762372885825,unclassified,"LINESTRING (76.9560511 8.4931226, 76.9560326 8.4936713, 76.9560137 8.4938848)",19
